No,검색어,결과값
526,리포직,카보머
527,아이필,히알루론산나트륨
527,아이필,히프로멜로스
528,알미틴플러스,건조수산화알루미늄겔/탄산마그네슘/옥세타자인
529,트리겔,덴탈타입실리카/피로인산나트륨/토코페롤아세테이트
529,트리겔,티로트리신
530,위스콘,알긴산나트륨/탄산수소나트륨/탄산칼슘
531,겔포스엘,인산알루미늄겔/수산화마그네슘/시메티콘/DL-카르니틴염산염
532,겔포스엠,인산알루미늄겔/수산화마그네슘/시메티콘
535,알마겔,알마게이트
535,알마겔,알마게이트
536,아로나민골드정,푸르설티아민/리보플라빈부티레이트/피리독살포스페이트수화물/히드록소코발라민아세트산염/아스코르브산/토코페롤아세테이트 2배산
541,하벤목 캡슐,아세트아미노펜/에텐자미드/구아이페네신/클로르페니라민말레산염/덱스트로메토르판브롬화수소산염수화물/황련건조엑스(8.93→1)/길경50%에탄올건조엑스(10→1)
542,목기천,덱스트로메토르판브롬화수소산염수화물/노스카핀염산염수화물/트리메토퀴놀염산염수화물/구아이페네신/클로르페니라민말레산염
543,쏙콜에프 연질캡슐,아세트아미노펜/구아이페네신/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레산염/dl-메틸에페드린염산염
544,오메콜에프캡슐,아세트아미노펜/덱스트로메토르판브롬화수소산염수화물/dl-메틸에페드린염산염/구아이페네신/클로르페니라민말레산염/카페인무수물
545,네오콜캡슐,소청룡탕건조엑스/아세트아미노펜/티페피딘히벤즈산염/클로르페니라민말레산염/카페인무수물
548,화이투벤큐연질캡슐,아세트아미노펜/구아이페네신/슈도에페드린염산염/dl-메틸에페드린염산염/덱스트로메토르판브롬화수소산염수화물/트리프롤리딘염산염수화물
549,콜대원 콜드 큐,아세트아미노펜/클로르페니라민말레산염/덱스트로메토르판브롬화수소산염수화물/DL-메틸에페드린염산염/구아이페네신/카페인무수물
550,테라플루 나이트,아세트아미노펜/페니라민말레산염/페닐레프린염산염
550,테라플루 나이트,아세트아미노펜/디펜히드라민염산염/페닐레프린염산염
552,테라플루 콜드앤코프 나이트,아세트아미노펜/디펜히드라민염산염/페닐레프린염산염
555,판콜,덱시부프로펜
555,판콜,아세트아미노펜/DL-메틸에페드린염산염/구아이페네신/디펜히드라민염산염
556,타이레놀 콜드,아세트아미노펜/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레인산염
556,타이레놀 콜드,아세트아미노펜/슈도에페드린염산염/덱스트로메토르판브롬화수소산염/클로르페니라민말레산염
557,솔루샷쿨연질캡슐,아세트아미노펜/구아이페네신/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레산염/dl-메틸에페드린염산염
558,센타민프로,레티놀아세테이트 과립/비스벤티아민/푸르설티아민/벤포티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/비오틴/폴산/시아노코발라민 1000배산/아스코르브산/콜레칼시페롤농축분말/토코페롤아세테이트 2배산/침강탄산칼슘/염화칼륨/산화마그네슘/황산제이구리수화물/황산망간수화물/셀레늄함유건조효모/산화아연/감마-오리자놀/우르소데옥시콜산/유비데카레논/이노시톨/콜린타르타르산염/로얄젤리/황기/작약/당귀
559,비맥스메타 비,벤포티아민/비스벤티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/d-비오틴/폴산/히드록소코발라민아세트산염/콜린타르타르산염/이노시톨/콜레칼시페롤농축분말/L-시스테인/산화아연/우르소데옥시콜산/셀레늄함유건조효모/산화마그네슘
559,비맥스메타 비,벤포티아민/비스벤티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/D-비오틴/폴산/시아노코발라민/콜린타르타르산염/이노시톨/콜레칼시페롤농축분말/산화아연/우르소데옥시콜산/셀레늄함유건조효모/산화마그네슘
560,비맥스제트,벤포티아민/비스벤티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독살포스페이트수화물/비오틴/폴산/메코발라민/제피아스코르브산/타우린/크롬함유건조효모/이노시톨/콜레칼시페롤농축분말/콜린타르타르산염/산화아연/우르소데옥시콜산/셀레늄함유건조효모/토코페롤아세테이트 2배산/감마-오리자놀/산화마그네슘
561,메가바이,벤포티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독살포스페이트수화물/비오틴/폴산/히드록소코발라민아세트산염/이노시톨/콜린타르타르산염/제피아스코르브산/토코페롤아세테이트 2배산/산화아연/셀레늄함유건조효모/산화마그네슘/콜레칼시페롤과립/γ-오리자놀
561,메가바이,가자
562,벤포액티브 프리미엄정,벤포티아민/피리독신염산염
563,중외 멸균증류수,관류용멸균증류수
565,장편환,당귀/작약/천궁/창출/인삼/복령/육계/속미/이상수침건조엑스
566,로이디펜,엔테로코쿠스페칼리스 F-100균/로페라미드염산염/베르베린염화물수화물/아크리놀수화물
566,로이디펜,아크리놀수화물/베르베린염화물수화물/비스무트차질산염/스코폴리아 엑스10배산
567,듀오레,부데소니드/포르모테롤푸마르산염수화물
567,듀오레,부데소니드/포르모테롤푸마르산염수화물
568,스타빅,디옥타헤드랄스멕타이트
569,포타겔현탁액,디옥타헤드랄스멕타이트
570,장나환,장나환건조엑스(6.7->1)
571,에세푸릴캡슐,니푸록사지드
572,니라마이드산,아크리놀수화물/탄닌산/산화아연
573,아파베린,디시클로민염산염/파파베린염산염
574,파베린,파파베린염산염
574,파베린,파파베린염산염
575,우황청심원 환,감초/계피/작약/황금/방풍/백출/길경/복령/우황/산약/백삼/포황/신곡/대두황권/아교/천궁/맥문동/백렴/당귀/시호/행인/용뇌/영양각/건강
575,우황청심원 환,사향/감초/육계/작약/황금/방풍/백출/길경/복령/우황/산약/인삼/포황/신곡/대두황권/아교/맥문동/백렴/당귀/시호/행인/천궁/용뇌/영양각/건강
575,우황청심원 환,감초/계피/작약/황금/방풍/백출/길경/복령/우황/산약/백삼/포황/신곡/대두황권/아교/천궁/맥문동/백렴/당귀/시호/행인/용뇌/영양각/건강
575,우황청심원 환,사향/감초/육계/작약/황금/방풍/백출/길경/복령/우황/산약/인삼/포황/신곡/대두황권/아교/맥문동/백렴/당귀/시호/행인/천궁/용뇌/영양각/건강
577,우황청심원 현탁액,산약/감초/인삼/포황/신곡/대두황권/육계/아교/작약/맥문동/황금/당귀/방풍/백출/시호/복령/길경/행인/천궁/우황/영양각/사향/용뇌/백렴/건강
577,우황청심원 현탁액,산약/감초/인삼/포황/신곡/대두황권/육계/작약/맥문동/황금/당귀/방풍/백출/시호/길경/행인/복령/천궁/우황/아교/영양각/사향/용뇌/백렴/건강
578,안심액,생지황/인삼/현삼/단삼/원지/길경/복령/오미자/당귀/천문동/맥문동/백자인/산조인/황련
578,안심액,생지황/인삼/현삼/단삼/원지/길경/복령/오미자/당귀/천문동/맥문동/백자인/산조인/황련
579,용표 우황청심원,사향/감초/육계/작약/황금/방풍/백출/길경/복령/우황/산약/인삼/포황/신곡/대두황권/아교/맥문동/백렴/당귀/시호/행인/천궁/용뇌/영양각/건강
579,용표 우황청심원,사향/감초/육계/작약/황금/방풍/백출/길경/복령/우황/산약/인삼/포황/신곡/대두황권/아교/맥문동/백렴/당귀/시호/행인/천궁/용뇌/영양각/건강
580,사리돈에이,아세트아미노펜/이소프로필안티피린/카페인무수물
582,이브원큐,이부프로펜
582,이브원큐,이부프로펜
583,그날엔정,이부프로펜/알릴이소프로필아세틸우레아/카페인무수물
584,인클리어,인산수소칼슘수화물/침강탄산칼슘/알란토인클로로히드록시알루미늄/아미노카프로산
584,인클리어,에탄올
585,지노베타딘 세정액,포비돈요오드
587,세나서트 질정,9-아미노아크리딘 운데실렌산/N-미리스틸-3-하이드록시부틸아민염산염/염화메틸벤제토늄
588,클리마졸질정,클로트리마졸
589,카네스텐 질정,클로트리마졸
589,카네스텐 질정,클로트리마졸
591,산타몬플러스액,폴리네이트칼슘/글루콘산제이철나트륨착염
592,훼리너프캡슐,철만니톨난단백/시아노코발라민/폴산
593,훼라민큐정,서양승마추출액/세인트존스워트80%메탄올 건조엑스
602,이덴큐,리소짐염산염/제피아스코르브산/토코페롤아세테이트 2배산/카르바조크롬
603,치위환,방풍/생지황/치자/형개/황련/천궁/작약/박하/목단피/당귀/감초
604,건치환,당귀/천궁/작약/생지황/황련/치자/목단피/형개/박하/방풍/감초
608,캐치티니핑 어린이치약(딸기향),덴탈타입실리카/일불소인산나트륨/토코페롤아세테이트
610,잇치페이스트,몰약틴크/라타니아틴크/몰약 틴크/라타니아 틴크/카모밀레틴크
611,치센,덴탈타입실리카/인산삼칼슘/토코페롤아세테이트
611,치센,염화아연
612,푸레파인좌제,리도카인/알란토인/테트라히드로졸린염산염/클로르헥시딘염산염/L-멘톨
613,치지래과립,목단피건조엑스(4→1)/서양칠엽수종자엑스(6→1)/자근건조엑스(3→1)/토코페롤아세테이트
614,푸레파베인캡슐,디오스민
615,푸레파인마일드 좌제,리도카인/테트라히드로졸린염산염/클로르헥시딘염산염
616,푸레파인마일드 연고,리도카인/알란토인/테트라히드로졸린염산염/클로르헥시딘염산염
623,갈근탕가천궁신이,작약/신이/계지/천궁/마황/대추/건강/감초/갈근
623,갈근탕가천궁신이,갈근/마황/대추/작약/계지/감초/건강/천궁/신이/건조엑스
625,코트리나,메퀴타진/벨라돈나총알칼로이드/글리시리진산이칼륨/슈도에페드린염산염/카페인무수물
626,콜대원 노즈 큐,아세트아미노펜/슈도에페드린염산염/트리프롤리딘염산염수화물/카페인무수물
626,콜대원 노즈 큐,아세트아미노펜/카페인무수물/구아이페네신/슈도에페드린염산염/클로르페니라민말레산염
627,콘택골드,클로르페니라민말레산염/벨라돈나총알칼로이드/페닐레프린염산염
628,솔루샷노즈 연질,아세트아미노펜/슈도에페드린염산염/클로르페니라민말레산염
629,시노카엔,벨라돈나총알카로이드/클로르페니라민말레산염/페닐레프린염산염
637,템포 내추럴,
637,템포 내추럴,
640,콜로덤에스액,살리실산/락트산
643,한방수,살리실산글리콜/l-멘톨/황백연조엑스(3.3→1)/d-캄파/치자연조엑스(3.0→1)/산초30%에탄올연조엑스(3.3→1)/토코페롤아세테이트/글리시리진산
645,이부스타플라스타,이부프로펜
646,록소크린 플라스타,록소프로펜나트륨수화물
648,페노크린,플루르비프로펜
648,페노크린,플루르비프로펜
649,에폴민 카타플라스마,디클로페낙에폴아민
650,캐롤쿨링 더블파워카타플라스마,케토프로펜
651,이프로탑 플라스타,이부프로펜
654,디나펜카타플라스마,디클로페낙나트륨
655,디나펜 플라스타,디클로페낙나트륨
656,뉴베이비맘,산화아연
659,비오틴정,비오틴
659,비오틴정,비오틴
660,멜라노사 크림,히드로퀴논
661,머시론,데소게스트렐/에티닐에스트라디올
662,센스리베,게스토덴/에치닐에스트라디올
663,디어미정,에티닐에스트라디올/게스토덴
664,디어미순정,에티닐에스트라디올/게스토덴
665,마이보라,게스토덴/에티닐에스트라디올
665,마이보라,게스토덴/에티닐에스트라디올
666,멜리안,게스토덴/에티닐에스트라디올
666,멜리안,딜라제프염산염수화물
667,순아리정,데소게스트렐
668,에이리스정,레보노르게스트렐/에티닐에스트라디올
669,레스타민 코와파우더 크림,디펜히드라민염산염/산화아연/글리시레틴산
670,해농정,지실/작약/길경/건강/대추/감초/배농산급탕건조엑스
671,숙신환,백출/향부자/진피/반하/복신/지실/신곡/황련/작약/자소자/내복자/천궁/당귀/백두구/감초/목향
673,안위환,백출/향부자/진피/반하/복신/지실/신곡/황련/작약/자소자/내복자/천궁/당귀/백두구/감초/목향
674,보화소합원,갈근/감초/육계/사인/진피/창출/향부자/후박/맥아/목과/l-멘톨/백단향/패장/신곡/용뇌/자단향/초과/필발
677,그린 쿨 인후스프레이,포비돈요오드
678,베타딘 인후 스프레이,포비돈요오드
678,베타딘 인후 스프레이,포비돈요오드
679,안티클로,아시클로버/히드로코르티손
680,아시클로버,아시클로버
680,아시클로버,아시클로버
681,아시콜크림,아시클로버
684,티트로신,티로트리신
686,풀믹신연고,네오마이신황산염/바시트라신아연/폴리믹신B황산염/프라목신염산염
687,에스로반연고,무피로신
690,엘린플러스크림,히드로코르티손/클로트리마졸
691,무조무 알파에어로솔,테르비나핀염산염/리도카인/디펜히드라민/에녹솔론
692,나프젠 액,나프티핀염산염
693,나프젠 크림,나프티핀염산염
695,신도톱 쿨 점안액,설파메톡사졸/글리시리진산이칼륨/클로르페니라민말레산염/아미노카프로산
696,포티텐,케토티펜푸마르산염
697,유니텐점안액,케토티펜푸마르산염
698,지르텍,세티리진염산염
699,세노바액,세티리진염산염
700,오라드린 에프,글리시리진산이칼륨/아스코르브산97%과립/피리독신염산염/판토텐산칼슘/리보플라빈부티레이트/클로르페니라민말레산염
701,쎄르텍,세티리진염산염
702,더마스킨 연고,히드로코르티손아세테이트/디펜히드라민염산염/산화아연
703,세노바퀵,세티리진염산염
704,알레그라정,펙소페나딘염산염
704,알레그라정,펙소페나딘염산염
705,액티피드정,슈도에페드린염산염/트리프롤리딘염산염수화물
707,타미노펜,아세트아미노펜/티아민질산염
707,타미노펜,아세트아미노펜
708,파인큐,아세트아미노펜
708,파인큐,이부프로펜
709,타나센,아세트아미노펜/카페인수화물
712,타이레놀 우먼스,아세트아미노펜/파마브롬
712,타이레놀 우먼스,아세트아미노펜/파마브롬
715,타이레놀 이알,아세트아미노펜
715,타이레놀 이알,아세트아미노펜
718,브르럭,황금/길경/상백피/행인/치자/천문동/절패모/진피/대추/복령/당귀/맥문동/오미자/건강/감초
719,맥기원,맥문동/반하/갱미/대추/인삼/감초
720,맥기천,맥문동/반하/갱미/대추/인삼/감초
720,맥기천,맥문동/반하/갱미/대추/인삼/감초
721,보감삼소음,인삼/자소엽/전호/반하/갈근/복령/진피/길경/지각/감초/건강/대추
722,보감소청룡탕,반하/작약/마황/건강/감초/계지/세신/오미자
723,맥문동탕,맥문동/반하/갱미/대추/인삼/감초/이상 연조엑스로서
723,맥문동탕,맥문동/반하/갱미/대추/인삼/감초
724,소청룡탕엑스과립,마황/작약/건강/감초/계지/세신/오미자/반하
724,소청룡탕엑스과립,마황/작약/건강/감초/계지/세신/오미자/반하
725,맥기,맥문동/반하/갱미/대추/인삼/감초
725,맥기,맥문동/반하/갱미/대추/인삼/감초
726,맥감,맥문동/반하/대추/인삼/감초/갱미
727,노즈코정,길경/감초/작약/대추/지실/생강/석고/신이/황금/창출/치자/시호/승마/지모/맥문동/비파엽
728,지천환,숙지황/산약/산수유/복령/목단피/택사/오미자/지실/맥문동/천문동/절패모/길경/황련/행인/반하/괄루인/황금/감초
730,나오덤크림,구아야줄렌
740,스카덤겔,양파연조엑스(1.8→1)/헤파린나트륨/알란토인
741,스카덤클리어겔,헤파린나트륨/알란토인/덱스판테놀
742,경방쌍화탕액,작약/숙지황/황기/당귀/천궁/육계/감초/생강/대추
215,용패탕,당귀/지황/목통/황금/택사/차전자/용담/치자/감초
749,로페리캡슐,로페라미드염산염
750,스토마제정,판크레아틴/셀룰라제/우담즙건조엑스/디메티콘
755,파이에온,인진호탕건조엑스/dl-메틸에페드린염산염/클로르페니라민말레산염
758,박트리안연고,무피로신
758,박트리안연고,무피로신
760,벤트플라겔,헤파린나트륨/무정형에스신/살리실산글리콜
762,아이콘액,염화나트륨
318,애니클렌,클로르헥시딘글루콘산염 액/디펜히드라민염산염/디부카인염산염/알란토인/나파졸린염산염
767,콜대원 키즈 이부펜,이부프로펜
768,패독산엑스과립,강활/독활/시호/길경/전호/천궁/복령/금은화/지각/연교/방풍/형개/박하/감초/생강/이상물건조엑스
768,패독산엑스과립,창출/천궁/길경/시호/전호/강활/독활/지각/자소엽/갈근/방풍/복령/형개/진피
769,코프락,인삼/자소엽/전호/반하/갈근/복령/진피/길경/지각/감초/건강/대추
770,청해산,황금/길경/복령/상백피/진피/절패모/당귀/천문동/치자/행인/맥문동/오미자/감초/건강/대추
771,노즈락,반하/작약/마황/건강/감초/계지/세신/오미자
772,센스데이,데소게스트렐/에티닐에스트라디올
772,센스데이,레보노르게스트렐/에티닐에스트라디올
773,코푸시럽,헤데라건조엑스분말(5.8→1)/지미건조엑스분말(7→1)/프리뮤라건조엑스분말(6.5→1)
773,코푸시럽,레보드로프로피진
774,안티푸라민 쿨파워,펠비낙/l-멘톨
775,안티푸라민 더블파워,l-멘톨/살리실산메틸/L-멘톨/dl-캄파/노닐산바닐릴아미드
777,코드에이연질캡슐,리보플라빈/티아민질산염/콘드로이틴설페이트나트륨/간유
778,메코이에프정,메코발라민/푸르설티아민염산염/피리독신염산염/폴산/토코페롤아세테이트 2배산
779,모글원큐 스프레이,벤지다민염산염/세틸피리디늄염화물수화물
779,모글원큐 스프레이,벤지다민염산염
780,베나치오액,감초/L-멘톨/진피/건강/육계/창출/현호색/회향
784,오큐시스리커버리,폴리데옥시리보뉴클레오티드나트륨
786,스타일마스크 대형,
786,스타일마스크 대형,
577,우황청심원 현탁액,산약/감초/인삼/포황/신곡/대두황권/육계/아교/작약/맥문동/황금/당귀/방풍/백출/시호/복령/길경/행인/천궁/우황/영양각/사향/용뇌/백렴/건강
577,우황청심원 현탁액,산약/감초/인삼/포황/신곡/대두황권/육계/작약/맥문동/황금/당귀/방풍/백출/시호/길경/행인/복령/천궁/우황/아교/영양각/사향/용뇌/백렴/건강
801,용표안신액,생지황/인삼/현삼/단삼/원지/길경/복령/오미자/당귀/천문동/맥문동/백자인/산조인/황련
803,취어스,갈근/창출/진피/복령/모과/반하/신곡/택사/건강/흑두/녹두/적소두
805,더마큐연고,히드로코르티손아세테이트/디펜히드라민염산염/산화아연
806,아로나민 디엠,아스코르브산/시아노코발라민100배산/폴산/산화마그네슘/유비데카레논10%/토코페롤아세테이트 2배산
809,글리세린,
809,글리세린,농글리세린
810,아세톤,아세톤
810,아세톤,아세톤
811,아로나민 골드 프리미엄,푸르설티아민/리보플라빈부티레이트/피리독살포스페이트수화물/니코틴산아미드/판토텐산칼슘/토코페롤아세테이트 2배산/산화마그네슘/콜레칼시페롤농축분말/폴산/비오틴/시아노코발라민
814,리버타인액,L-아르기닌/베타인/베타인염산염/시트르산수화물
816,오트리빈 0.05%,자일로메타졸린염산염
817,일동경옥고,생지황즙/복령/인삼/꿀
819,캐롤비 노즈연질,아세트아미노펜/브롬페니라민말레산염/슈도에페드린염산염/리보플라빈
550,테라플루 나이트,아세트아미노펜/페니라민말레산염/페닐레프린염산염
550,테라플루 나이트,아세트아미노펜/디펜히드라민염산염/페닐레프린염산염
552,테라플루 콜드앤코프 나이트,아세트아미노펜/디펜히드라민염산염/페닐레프린염산염
823,안티스탁스정,비티스비니페라엽 건조엑스 (4-6->1)
824,페스내추럴 비강분무액,염화나트륨
825,라미실 원스,테르비나핀염산염
826,그날엔큐,이부프로펜/알릴이소프로필아세틸우레아/카페인무수물/산화마그네슘
827,리놀,피리독신염산염
827,리놀,함수이산화규소/토코페롤아세테이트
829,카네스텐 산제,클로트리마졸
830,트레스탄츄정,시프로헵타딘오로트산염수화물/DL-카르니틴염산염/L-리신염산염/시아노코발라민
831,액티피드시럽,슈도에페드린염산염/트리프롤리딘염산염수화물
832,미놀 에프트로키(페퍼민트),dl-메틸에페드린염산염/DL-메틸에페드린염산염/노스카핀/구아야콜설폰산칼륨/세틸피리디늄염화물수화물
833,꼬마활명수,육계/정향/건강/육두구/진피/후박/현호색/아선약/오매
709,타나센,아세트아미노펜/카페인수화물
687,에스로반연고,무피로신
826,그날엔큐,이부프로펜/알릴이소프로필아세틸우레아/카페인무수물/산화마그네슘
623,갈근탕가천궁신이,작약/신이/계지/천궁/마황/대추/건강/감초/갈근
623,갈근탕가천궁신이,갈근/마황/대추/작약/계지/감초/건강/천궁/신이/건조엑스
848,엑스콜코프,덱스트로메토르판브롬화수소산염수화물/dl-메틸에페드린염산염/노스카핀/구아야콜설폰산칼륨/카르비녹사민말레산염/카페인무수물/감초엑스산/괄루인엑스산/길경엑스산/생강엑스산
849,청통엑스,청상견통탕연조엑스
852,아쿠아 프리,플루오르화나트륨/알란토인
852,아쿠아 프리,에탄올
854,아이크리너,폴록사머407
855,시로제노,세티리진염산염
856,라니아정,레보노르게스트렐/에티닐에스트라디올
